source_table,source_column,pdp_class,nullable
res_company,default_cash_difference_expense_account_id,internal,
res_company,default_cash_difference_income_account_id,internal,
res_company,display_invoice_amount_total_words,internal,
res_company,display_invoice_tax_company_currency,internal,
res_company,domestic_fiscal_position_id,internal,
res_company,downpayment_account_id,internal,
res_company,email,public,
res_company,email_primary_color,internal,
res_company,email_secondary_color,internal,
res_company,employee_properties_definition,internal,
res_company,expects_chart_of_accounts,internal,
res_company,expense_account_id,internal,
res_company,expense_accrual_account_id,internal,
res_company,expense_currency_exchange_account_id,internal,
res_company,external_report_layout_id,internal,
res_company,fiscalyear_last_day,internal,
res_company,fiscalyear_last_month,internal,
res_company,fiscalyear_lock_date,internal,
res_company,font,internal,
res_company,hard_lock_date,internal,
res_company,has_received_warning_stock_sms,internal,
res_company,horizon_days,internal,
res_company,hr_presence_control_attendance,internal,
res_company,hr_presence_control_email,internal,
res_company,hr_presence_control_email_amount,internal,
res_company,hr_presence_control_ip,internal,
res_company,hr_presence_control_ip_list,internal,
res_company,hr_presence_control_login,internal,
res_company,iap_enrich_auto_done,internal,
res_company,id,internal,
res_company,income_account_id,internal,
res_company,income_currency_exchange_account_id,internal,
res_company,incoterm_id,internal,
res_company,internal_transit_location_id,internal,
res_company,inventory_period,internal,
res_company,inventory_valuation,internal,
res_company,invoice_terms,public,
res_company,invoice_terms_html,public,
res_company,layout_background,internal,
res_company,link_qr_code,internal,
res_company,logo_web,internal,
res_company,name,public,
res_company,nomenclature_id,internal,
res_company,paperformat_id,internal,
res_company,parent_id,internal,
res_company,parent_path,internal,
res_company,partner_id,internal,
res_company,phone,public,
res_company,po_double_validation,internal,
res_company,po_double_validation_amount,internal,
res_company,po_lock,internal,
res_company,point_of_sale_ticket_portal_url_display_mode,internal,
res_company,point_of_sale_ticket_unique_code,internal,
res_company,point_of_sale_update_stock_quantities,internal,
res_company,point_of_sale_use_ticket_qr_code,internal,
res_company,portal_confirmation_pay,internal,
res_company,portal_confirmation_sign,internal,
res_company,prepayment_percent,internal,
